Validator Address,Validator Moniker,Commission,Outstanding Rewards,Cumulative Earnings
fxvaloper10vazcv8mfhy7lm5fuep82esxwcx70dwttsx2ez,blocktempo,0.778646589383348492,346485379819304821619433.759608365526475213,3.4648537981930482162e+23
fxvaloper1srkazumnkle6uzmdvqq68df9gglylp3pkhuwna,Litecoin Foundation,17663845445867736705760.445030576106365764,1024236632136539258553659.086010774697483436,1.0419004775824069953e+24
fxvaloper1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwqdtfq8x,📊EA🤖31337📈,4722733590595654221737.692548673018420348,303902978682215955207177.057935139292043932,3.0862571227281160943e+23
fxvaloper1359ld4urxm0807wcmyth9dkmsw2pwznjeh26pt,Dubai,42008641288166101841422.009250218406932733,677700731393454476171757.378215324280672857,7.1970937268162057801e+23
fxvaloper1jcwagrc7gxpsr3xhvtvwek4kyx3m7q858jxqec,Rock,12675669198275705515.682613194214573855,99282488050266155398762.549825861417728343,9.9295163719464431104e+22
fxvaloper1nnxl78nf0u0h8vypa4qf4av27e6wqngdgg7skm,ContributionDAO,30291610913036900908498.483327899025723780,229055409806744224502926.741073320163093875,2.5934702071978112541e+23
fxvaloper1nammyssvfumll85kx6fwwje3qy3pkpvkw35p89,Nammy💻,8170204511977093339575.122445723837328922,537827914434607647215948.948882395574945601,5.4599811894658474056e+23
fxvaloper15x2nwxq75fth468wn5xpvvtwhtnj2af0pz6tuj,fx-royv-validator,0,0,0
fxvaloper14y39e3ujz2m0y2we8tqjwppmj5j4vh80hyafz7,Amsterdam,44208263778426458911438.907971827273382640,489241046831264154774497.640915814325534018,5.3344931060969061369e+23
fxvaloper146rt8jflty3kxnjekcsjr7j5r7eka5udqsfyld,node101,2969931593393848938900.242118316951982251,122459670775794930801498.403544857978757235,1.2542960236918877974e+23
fxvaloper1ke3gmlz77w700w65qyhtc3y3ahtwupjk3szeph,SoPaulo,56117767816480667671762.028876492956042045,942453264416817923505171.902566210714884758,9.9857103223329859118e+23
fxvaloper1h88fa2my5ns6ydpvzdjhtmjw4smz2zzd4eg7sv,Paper,3107601626006514057757.376898607602816168,3170039420984011988210.547388781155277922,6.277641046990526046e+21
fxvaloper1hgjukrrd8gv6uk6erhsf5cd4myzmjevj8egefs,fx-royv,0,0,0
fxvaloper1hnavkdy0ep629tlwt32x82qsssx9yyvp0s0wtt,Porto,154743840662386604.014707734628633401,154743840662386819.392848369302749553,309487681324773423.41
fxvaloper1hl5s5tycshsklqyv88ednwmr3hc90wmqxh23c2,SanSalvador,661808848269315885.420339215447040709,661808848269317624.532805085085472392,1323617696538633510
fxvaloper1c0gnd02hwatfukgcux5f3hvhutcfj9kdvqrmuj,Cogni🧠,3581125853788781385652.582041555156693924,566735853472339032019934.562451205469663201,5.7031697932612781341e+23
fxvaloper1c4glwxgvs5vjx9j2w4ef7r4480cfs2dkv7h8u2,Scissors,7458944551566739454207.755782563046738702,240153788966662013026396.774081445668467688,2.4761273351822875248e+23
fxvaloper1evpmc2je2mmvad3pukyre0xw37y0cdr5pqptke,paf_yyc_ca,413893420596880950502.426715235394003955,227246477139367100590068.295392477557944403,2.2766037055996398154e+23
fxvaloper1engnd3l9gg67gggr7n4wq7c32zavd9sq4faxua,Cyprus,162684151731301526961.169325705916646660,50801467573461867083407.943313750327086568,5.096415172519316861e+22
fxvaloper1em5cggcyr3nqjuqmp57zd2ewe5gpt6y3pxg929,☾☾ FrenchﾒCore-2 ☾☾,0,0,0
